wupin	ipa
chiq ia ve	ʨʰiəʔ iɑ vᴇ
chiq ie	ʨʰiəʔ iɪ
chiq iq kheu	ʨʰiəʔ iəʔ kʰøʏ
chiq iq ten	ʨʰiəʔ iəʔ tən
chiq iq tse	ʨʰiəʔ iəʔ ʦᴇ
chiq ka5[51]	ʨʰiəʔ kɑ51
chiq kuoe sy	ʨʰiəʔ kuø sɿ
chiq lau kau tsy4[23]40	ʨʰiəʔ læ kæ ʦɿ23
chiq li feq saeq4[23]40	ʨʰiəʔ li fəʔ saʔ23
chiq li zy ve	ʨʰiəʔ li zɿ vᴇ
chiq lin zeq	ʨʰiəʔ lin zəʔ
chiq liq44	ʨʰiəʔ liəʔ44
chiq meq syu keq	ʨʰiəʔ məʔ sʮ kəʔ
chiq na na4[23]0	ʨʰiəʔ nɑ nɑ23
chiq ngan5[523]	ʨʰiəʔ ŋã523
chiq poe ia tie sin	ʨʰiəʔ pø iɑ tiɪ sin
chiq san ia phie ie	ʨʰiəʔ sã iɑ pʰiɪ iɪ
chiq san weq4[23]0	ʨʰiəʔ sã ɦuəʔ23
chiq saon	ʨʰiəʔ sɑ̃
chiq se tsau mie	ʨʰiəʔ sᴇ ʦæ miɪ
chiq shi tseu	ʨʰiəʔ ɕi ʦøʏ
chiq shian ie4[23]0	ʨʰiəʔ ɕiã iɪ23
chiq shian4[23]	ʨʰiəʔ ɕiã23
chiq soe5[51]	ʨʰiəʔ sø51
chiq tie sin5[52]3	ʨʰiəʔ tiɪ sin52
chiq tsau tie	ʨʰiəʔ ʦæ tiɪ
chiq tseu4[51]	ʨʰiəʔ ʦøʏ51
chiq tshou	ʨʰiəʔ ʦʰəu
chiq tson ve	ʨʰiəʔ ʦoŋ vᴇ
chiq tsoq	ʨʰiəʔ ʦoʔ
chiq ve de tsy4[23]40	ʨʰiəʔ vᴇ dᴇ ʦɿ23
chiq zeq tie440	ʨʰiəʔ zəʔ tiɪ44
chiq7	ʨʰiəʔ43
chiq[23] kaon zo[52]3	ʨʰiəʔ23 kɑ̃ zo52
chiq[43] den deu23	ʨʰiəʔ43 dən døʏ23
chiq[43] doq zeq34	ʨʰiəʔ43 doʔ zəʔ34
chiq[43] goq deu2[51]	ʨʰiəʔ43 goʔ døʏ51
chiq[43] kaeq taon4[23]	ʨʰiəʔ43 kaʔ tɑ̃23
chiq[43] khe kheu ve keq4440	ʨʰiəʔ43 kʰᴇ kʰøʏ vᴇ kəʔ444
chiq[43] lau tseu23	ʨʰiəʔ43 læ ʦøʏ23
chiq[43] tseu syu[52]3	ʨʰiəʔ43 ʦøʏ sʮ52
chiq[43] ve231	ʨʰiəʔ43 vᴇ231
chiq[43] zo223	ʨʰiəʔ43 zo223
chiu ghoe	ʨʰy ɦø
chiu saeq40	ʨʰy saʔ4
chiu teq	ʨʰy təʔ
chiu1	ʨʰy44
chiu3	ʨʰy51
chiu5	ʨʰy523
chiueh tshen	ʨʰyəʔ ʦʰən
chiuq cin	ʨʰyəʔ ʨin
chiuq ka jiau	ʨʰyəʔ kɑ ʥiæ
chiuq tan zen tsau	ʨʰyəʔ tã zən ʦæ
chiuq7	ʨʰyəʔ43
ci	ʨi
ci ban40	ʨi bã4
ci bi fu	ʨi bi fu
ci ci ho ho	ʨi ʨi xo xo
ci ciaq pin	ʨi ʨiɑʔ pin
ci ciaq tsau440	ʨi ʨiɑʔ ʦæ44
ci de	ʨi dᴇ
ci de kau440	ʨi dᴇ kæ44
ci de40	ʨi dᴇ4
ci deu	ʨi døʏ
ci deu gnioq	ʨi døʏ ȵioʔ
ci deu mi440	ʨi døʏ mi44
ci deu wen440	ʨi døʏ ɦuən44
ci fen bu	ʨi fən bu
ci fen li	ʨi fən li
ci ghuaon bi	ʨi ɦuɑ̃ bi
ci gni tsy440	ʨi ȵi ʦɿ44
ci gnian40	ʨi ȵiã4
ci ho	ʨi xo
ci kaeh	ʨi kaʔ
ci kaeq40	ʨi kaʔ4
ci keq	ʨi kəʔ
ci keq ngeq	ʨi kəʔ ŋəʔ
ci keq[52]1	ʨi kəʔ52
ci khou	ʨi kʰəu
ci koko440	ʨi ?
ci kou	ʨi kəu
ci kue deu440	ʨi kuᴇ døʏ44
ci kue ho	ʨi kuᴇ xo
ci kueq	ʨi kuəʔ
ci kueq lie[52]1	ʨi kuəʔ liɪ52
ci lau	ʨi læ
ci mau te tsy	ʨi mæ tᴇ ʦɿ
ci mau tshe440	ʨi mæ ʦʰᴇ44
ci mau40 taon52 lin tsie23	ʨi mæ4 tɑ̃52 lin ʦiɪ23
ci min40	ʨi min4
ci nge	ʨi ŋᴇ
ci ngeq li	ʨi ŋəʔ li
ci noe ng	ʨi nø ŋ
ci noe ng440	ʨi nø ŋ44
ci paq keq	ʨi pɑʔ kəʔ
ci seh	ʨi səʔ
ci seq keq	ʨi səʔ kəʔ
ci seq ve keq	ʨi səʔ vᴇ kəʔ
ci shiuq	ʨi ɕyəʔ
ci siau	ʨi siæ
ci sin	ʨi sin
ci sy hue	ʨi sɿ xuᴇ
ci teq	ʨi təʔ
ci tie tson[52]10	ʨi tiɪ ʦoŋ52
ci tsau	ʨi ʦæ
ci tsen koe	ʨi ʦən kø
ci tshie keq	ʨi ʦʰiɪ kəʔ
ci ve keq	ʨi vᴇ kəʔ
ci ve zoe440	ʨi vᴇ zø44
ci vi	ʨi vi
ci ya40	ʨi ɦiɑ4
ci yeu	ʨi ɦiʏ
ci zeq	ʨi zəʔ
ci zeu tie	ʨi zøʏ tiɪ
ci zyu[52]1	ʨi zʮ52
ci1	ʨi44
ci3	ʨi51
ci44	ʨi44
ci5	ʨi523
ci523	ʨi523
cia chin tsy	ʨiɑ ʨʰin ʦɿ
cia chin tsy440	ʨiɑ ʨʰin ʦɿ44
cia faon mau	ʨiɑ fɑ̃ mæ
cia laon bie ve	ʨiɑ lɑ̃ biɪ vᴇ
cia mo	ʨiɑ mo
cia shie ghou440	ʨiɑ ɕiɪ ɦəu44
cia shion	ʨiɑ ɕioŋ
cia tsi	ʨiɑ ʦi
cia vu	ʨiɑ vu
cia1	ʨiɑ44
cia3	ʨiɑ51
cia5	ʨiɑ523
ciaeq7	ʨiaʔ43
cian	ʨiã
cian meq	ʨiã məʔ
cian sy	ʨiã sɿ
cian1	ʨiã44
cian44	ʨiã44
cian5	ʨiã523
ciaon1	ʨiɑ̃44
ciaon3	ʨiɑ̃51
ciaon5	ʨiɑ̃523
ciaq ban ciaq5[52]3	ʨiɑʔ bã ʨiɑʔ52
ciaq ben	ʨiɑʔ bən
ciaq chie cin4[23]0	ʨiɑʔ ʨʰiɪ ʨin23
ciaq daeq tsho440	ʨiɑʔ daʔ ʦʰo44
ciaq daeq44 lian deu[23]1 zoe223	ʨiɑʔ daʔ44 liã døʏ23 zø223
ciaq die	ʨiɑʔ diɪ
ciaq don4[51]	ʨiɑʔ doŋ51
ciaq fu4[23]	ʨiɑʔ fu23
ciaq ga ga	ʨiɑʔ gɑ gɑ
ciaq gheu ken	ʨiɑʔ ɦøʏ kən
ciaq ken4[23]	ʨiɑʔ kən23
ciaq kou kueq	ʨiɑʔ kəu kuəʔ
ciaq kou kueq4[23]0	ʨiɑʔ kəu kuəʔ23
ciaq kuoe5[51]	ʨiɑʔ kuø51
ciaq lou4[23]	ʨiɑʔ ləu23
ciaq moe deu4[23]0	ʨiɑʔ mø døʏ23
ciaq ng4[23]	ʨiɑʔ ŋ23
ciaq o gni	ʨiɑʔ o ȵi
ciaq o4[23]	ʨiɑʔ o23
ciaq pe5[523]	ʨiɑʔ pᴇ523
ciaq pie lou	ʨiɑʔ piɪ ləu
ciaq pu5[523]	ʨiɑʔ pu523
ciaq seq	ʨiɑʔ səʔ
ciaq ti lo5[52]3	ʨiɑʔ ti lo52
ciaq ti sin5[52]3	ʨiɑʔ ti sin52
ciaq tsau5[51]	ʨiɑʔ ʦæ51
ciaq tsie4[23]	ʨiɑʔ ʦiɪ23
ciaq tsiq deu440	ʨiɑʔ ʦiəʔ døʏ44
ciaq tsiq khaeq	ʨiɑʔ ʦiəʔ kʰaʔ
ciaq zoe	ʨiɑʔ zø
ciaq zoq	ʨiɑʔ zoʔ
ciaq43	ʨiɑʔ43
ciaq7	ʨiɑʔ43
ciau	ʨiæ
ciau ciau kue kue	ʨiæ ʨiæ kuᴇ kuᴇ
ciau ciau40	ʨiæ ʨiæ4
ciau daon	ʨiæ dɑ̃
ciau deu40	ʨiæ døʏ4
ciau fen	ʨiæ fən
ciau gnin	ʨiæ ȵin
ciau ho	ʨiæ xo
ciau i cin440	ʨiæ i ʨin44
ciau kou kou440	ʨiæ kəu kəu44
ciau kue	ʨiæ kuᴇ
