wupin	ipa
tsaq[43] gni231	ʦɑʔ43 ȵi231
tsau ba	ʦæ bɑ
tsau daon	ʦæ dɑ̃
tsau de	ʦæ dᴇ
tsau de khaq gnin	ʦæ dᴇ kʰɑʔ ȵin
tsau de sou	ʦæ dᴇ səu
tsau deu	ʦæ døʏ
tsau deu40	ʦæ døʏ4
tsau faon	ʦæ fɑ̃
tsau gho	ʦæ ɦo
tsau gho ke	ʦæ ɦo kᴇ
tsau gho ke440	ʦæ ɦo kᴇ44
tsau gho40	ʦæ ɦo4
tsau ghon	ʦæ ɦoŋ
tsau ghon ciuq	ʦæ ɦoŋ ʨyəʔ
tsau gniu si440	ʦæ ȵy si44
tsau ka lau ya	ʦæ kɑ læ ɦiɑ
tsau ka lau ya4440	ʦæ kɑ læ ɦiɑ444
tsau khau	ʦæ kʰæ
tsau khou40	ʦæ kʰəu4
tsau laon40	ʦæ lɑ̃4
tsau le40	ʦæ lᴇ4
tsau li[52]3	ʦæ li52
tsau men don	ʦæ mən doŋ
tsau men tsoe	ʦæ mən ʦø
tsau ng	ʦæ ŋ
tsau pe40	ʦæ pᴇ4
tsau se40	ʦæ sᴇ4
tsau sen	ʦæ sən
tsau seu	ʦæ søʏ
tsau sian kuoe	ʦæ siã kuø
tsau syu40	ʦæ sʮ4
tsau thaeq	ʦæ tʰaʔ
tsau the	ʦæ tʰᴇ
tsau thiq	ʦæ tʰiəʔ
tsau tie	ʦæ tiɪ
tsau tsy	ʦæ ʦɿ
tsau tsy tson	ʦæ ʦɿ ʦoŋ
tsau tsy[52]3	ʦæ ʦɿ52
tsau ve	ʦæ vᴇ
tsau ve[52]1	ʦæ vᴇ52
tsau zian40	ʦæ ziã4
tsau zyu vu	ʦæ zʮ vu
tsau1	ʦæ44
tsau3	ʦæ51
tsau44	ʦæ44
tsau5	ʦæ523
tsau51	ʦæ51
tsau52 ba deu23	ʦæ52 bɑ døʏ23
tsau52 ven li23	ʦæ52 vən li23
tse diau	ʦᴇ diæ
tse gnioq40	ʦᴇ ȵioʔ4
tse ha	ʦᴇ xɑ
tse li	ʦᴇ li
tse meq	ʦᴇ məʔ
tse ne40	ʦᴇ nᴇ4
tse syu kaon piq	ʦᴇ sʮ kɑ̃ piəʔ
tse we40	ʦᴇ ɦuᴇ4
tse1	ʦᴇ44
tse3	ʦᴇ51
tse44	ʦᴇ44
tse5	ʦᴇ523
tse51	ʦᴇ51
tseh tshah	ʦəʔ ʦʰɑʔ
tsen	ʦən
tsen cia hou440	ʦən ʨiɑ xəu44
tsen ciah man	ʦən ʨiɑʔ mã
tsen ciah shi	ʦən ʨiɑʔ ɕi
tsen ciaq40	ʦən ʨiɑʔ4
tsen cieu	ʦən ʨiʏ
tsen cin	ʦən ʨin
tsen deu thau[52]30	ʦən døʏ tʰæ52
tsen deu[52]3	ʦən døʏ52
tsen din[52]1	ʦən din52
tsen foq zy zie	ʦən foʔ zɿ ziɪ
tsen gnin	ʦən ȵin
tsen i	ʦən i
tsen ji[52]3	ʦən ʥi52
tsen ka	ʦən kɑ
tsen ka40	ʦən kɑ4
tsen kau	ʦən kæ
tsen kou	ʦən kəu
tsen kou40	ʦən kəu4
tsen laon	ʦən lɑ̃
tsen laon shain	ʦən lɑ̃ ?
tsen lian	ʦən liã
tsen liq	ʦən liəʔ
tsen lon40	ʦən loŋ4
tsen men tsen kaon4440	ʦən mən ʦən kɑ̃444
tsen ngeq	ʦən ŋəʔ
tsen ngeq poe	ʦən ŋəʔ pø
tsen peq er cia	ʦən pəʔ əl ʨiɑ
tsen san weq440	ʦən sã ɦuəʔ44
tsen sin	ʦən sin
tsen son kau	ʦən soŋ kæ
tsen syu	ʦən sʮ
tsen ten pe440	ʦən tən pᴇ44
tsen thau	ʦən tʰæ
tsen tsau	ʦən ʦæ
tsen tse zeq hou4440	ʦən ʦᴇ zəʔ xəu444
tsen tsy	ʦən ʦɿ
tsen tsyu saon	ʦən ʦʮ sɑ̃
tsen tsyu thaeq	ʦən ʦʮ tʰaʔ
tsen tsyu40	ʦən ʦʮ4
tsen vaon	ʦən vɑ̃
tsen ve	ʦən vᴇ
tsen voq	ʦən voʔ
tsen wen den	ʦən ɦuən dən
tsen ziq	ʦən ziəʔ
tsen1	ʦən44
tsen3	ʦən51
tsen44	ʦən44
tsen5	ʦən523
tsen51	ʦən51
tseq	ʦəʔ
tseq da	ʦəʔ dɑ
tseq diq i	ʦəʔ diəʔ i
tseq diq se	ʦəʔ diəʔ sᴇ
tseq diq zaon	ʦəʔ diəʔ zɑ̃
tseq khuen	ʦəʔ kʰuən
tseq mau	ʦəʔ mæ
tseq pho	ʦəʔ pʰo
tseq soe	ʦəʔ sø
tseq tau	ʦəʔ tæ
tseq tau5[51]	ʦəʔ tæ51
tseq tsau	ʦəʔ ʦæ
tseq tsoe khuen5[51]0	ʦəʔ ʦø kʰuən51
tseq tsy shi	ʦəʔ ʦɿ ɕi
tseq43	ʦəʔ43
tseq7	ʦəʔ43
tseu ban[52]1	ʦøʏ bã52
tseu ciu	ʦøʏ ʨy
tseu faon laon tson[52]340	ʦøʏ fɑ̃ lɑ̃ ʦoŋ52
tseu ghou	ʦøʏ ɦəu
tseu gnian	ʦøʏ ȵiã
tseu gnian pin[52]30	ʦøʏ ȵiã pin52
tseu gnian yoe tsy	ʦøʏ ȵiã ɦiø ʦɿ
tseu iq da	ʦøʏ iəʔ dɑ
tseu iq thaon	ʦøʏ iəʔ tʰɑ̃
tseu kaon ghou geq	ʦøʏ kɑ̃ ɦəu gəʔ
tseu kaon sy	ʦøʏ kɑ̃ sɿ
tseu laon[52]3	ʦøʏ lɑ̃52
tseu lou	ʦøʏ ləu
tseu mi deu	ʦøʏ mi døʏ
tseu pe	ʦøʏ pᴇ
tseu phoq chi[52]30	ʦøʏ pʰoʔ ʨʰi52
tseu siau zau[52]30	ʦøʏ siæ zæ52
tseu tie	ʦøʏ tiɪ
tseu tsau beq deu[52]340	ʦøʏ ʦæ bəʔ døʏ52
tseu tshy	ʦøʏ ʦʰɿ
tseu tson[52]3	ʦøʏ ʦoŋ52
tseu tsou[52]1	ʦøʏ ʦəu52
tseu tsyu	ʦøʏ ʦʮ
tseu tsyu[52]3	ʦøʏ ʦʮ52
tseu yiq[52]3	ʦøʏ ɦiəʔ52
tseu1	ʦøʏ44
tseu3	ʦøʏ51
tseu44	ʦøʏ44
tseu5	ʦøʏ523
tseu51 yan223	ʦøʏ51 ɦiã223
tseu52 yan231	ʦøʏ52 ɦiã231
tsha bon	ʦʰɑ boŋ
tsha chiau[52]3	ʦʰɑ ʨʰiæ52
tsha cie ka	ʦʰɑ ʨiɪ kɑ
tsha fu cin	ʦʰɑ fu ʨin
tsha gnin	ʦʰɑ ȵin
tsha lin	ʦʰɑ lin
tsha o lin	ʦʰɑ o lin
tsha pan	ʦʰɑ pã
tsha tsha51	ʦʰɑ ʦʰɑ51
tsha1	ʦʰɑ44
tsha5	ʦʰɑ523
tshaeq de	ʦʰaʔ dᴇ
tshaeq kuaon zie sin5[52]31	ʦʰaʔ kuɑ̃ ziɪ sin52
tshaeq laeq tsoq	ʦʰaʔ laʔ ʦoʔ
tshaeq pe	ʦʰaʔ pᴇ
tshaeq pe5[523]	ʦʰaʔ pᴇ523
tshaeq siau	ʦʰaʔ siæ
tshaeq thiq thaeq440	ʦʰaʔ tʰiəʔ tʰaʔ44
tshaeq yan4[23]	ʦʰaʔ ɦiã23
tshaeq7	ʦʰaʔ43
tshah kueh leh ci	ʦʰɑʔ kuəʔ ləʔ ʨi
tshah lie zo	ʦʰɑʔ liɪ zo
tshah sih	ʦʰɑʔ siəʔ
tshan	ʦʰã
tshan iau	ʦʰã iæ
tshan kau40	ʦʰã kæ4
tshan pan	ʦʰã pã
tshan syu daeq440	ʦʰã sʮ daʔ44
tshan yan	ʦʰã ɦiã
tshan zoe	ʦʰã zø
tshan zy	ʦʰã zɿ
tshan1	ʦʰã44
tshan3	ʦʰã51
tshan5	ʦʰã523
tshan523	ʦʰã523
tshaon boe40	ʦʰɑ̃ bø4
tshaon bu	ʦʰɑ̃ bu
tshaon in phaq	ʦʰɑ̃ in pʰɑʔ
tshaon ka deu	ʦʰɑ̃ kɑ døʏ
tshaon khuaon khuaon	ʦʰɑ̃ kʰuɑ̃ kʰuɑ̃
tshaon kon	ʦʰɑ̃ koŋ
tshaon le	ʦʰɑ̃ lᴇ
tshaon lie	ʦʰɑ̃ liɪ
tshaon men daon tsy	ʦʰɑ̃ mən dɑ̃ ʦɿ
tshaon shian lin440	ʦʰɑ̃ ɕiã lin44
tshaon soe	ʦʰɑ̃ sø
tshaon zoq	ʦʰɑ̃ zoʔ
tshaon1	ʦʰɑ̃44
tshaon3	ʦʰɑ̃51
tshaon44	ʦʰɑ̃44
tshaon5	ʦʰɑ̃523
tshaq beq deu	ʦʰɑʔ bəʔ døʏ
tshaq ciaq siq	ʦʰɑʔ ʨiɑʔ siəʔ
tshaq ciaq44	ʦʰɑʔ ʨiɑʔ44
tshaq deu kau	ʦʰɑʔ døʏ kæ
tshaq deu tson	ʦʰɑʔ døʏ ʦoŋ
tshaq deu tsoq	ʦʰɑʔ døʏ ʦoʔ
tshaq deu5[523]	ʦʰɑʔ døʏ523
tshaq gni	ʦʰɑʔ ȵi
tshaq iq	ʦʰɑʔ iəʔ
tshaq keq se	ʦʰɑʔ kəʔ sᴇ
tshaq khe423	ʦʰɑʔ kʰᴇ423
tshaq kon	ʦʰɑʔ koŋ
tshaq kon5[523]	ʦʰɑʔ koŋ523
tshaq koq loq440	ʦʰɑʔ koʔ loʔ44
tshaq kueq loq zoe	ʦʰɑʔ kuəʔ loʔ zø
tshaq le ou	ʦʰɑʔ lᴇ əu
tshaq ou ciu	ʦʰɑʔ əu ʨy
tshaq pe	ʦʰɑʔ pᴇ
tshaq phi zon4[23]0	ʦʰɑʔ pʰi zoŋ23
tshaq poq44	ʦʰɑʔ poʔ44
tshaq sau4[23]	ʦʰɑʔ sæ23
tshaq se	ʦʰɑʔ sᴇ
tshaq so daon4[23]0	ʦʰɑʔ so dɑ̃23
tshaq sy4[51]	ʦʰɑʔ sɿ51
tshaq syu	ʦʰɑʔ sʮ
tshaq zeq44	ʦʰɑʔ zəʔ44
tshaq zy sie san	ʦʰɑʔ zɿ siɪ sã
tshaq7	ʦʰɑʔ43
tshaq[43] zy231	ʦʰɑʔ43 zɿ231
tshau ban ban[52]30	ʦʰæ bã bã52
tshau boe nga	ʦʰæ bø ŋɑ
tshau bu	ʦʰæ bu
tshau de[52]1	ʦʰæ dᴇ52
tshau deu waon[52]30	ʦʰæ døʏ ɦuɑ̃52
tshau deu[52]3	ʦʰæ døʏ52
tshau die	ʦʰæ diɪ
tshau gha[52]3	ʦʰæ ɦɑ52
tshau gho bo440	ʦʰæ ɦo bo44
tshau gnioq deu tsy	ʦʰæ ȵioʔ døʏ ʦɿ
tshau gnioq mie	ʦʰæ ȵioʔ miɪ
tshau ho gnin	ʦʰæ xo ȵin
tshau jin lou	ʦʰæ ʥin ləu
tshau kau	ʦʰæ kæ
tshau keu	ʦʰæ køʏ
tshau ko	ʦʰæ ko
tshau le	ʦʰæ lᴇ
tshau loq	ʦʰæ loʔ
tshau mau[52]1	ʦʰæ mæ52
tshau mi	ʦʰæ mi
tshau mi40	ʦʰæ mi4
tshau mie	ʦʰæ miɪ
tshau ng	ʦʰæ ŋ
tshau phiau	ʦʰæ pʰiæ
tshau shie	ʦʰæ ɕiɪ
tshau sian mo	ʦʰæ siã mo
tshau syu	ʦʰæ sʮ
tshau toe jiun	ʦʰæ tø ʥyn
tshau tshin	ʦʰæ ʦʰin
tshau tsy[52]3	ʦʰæ ʦɿ52
tshau yie deu	ʦʰæ ɦiɪ døʏ
tshau zen	ʦʰæ zən
tshau ziq[52]3	ʦʰæ ziəʔ52
tshau zy deu	ʦʰæ zɿ døʏ
tshau zy deu[52]30	ʦʰæ zɿ døʏ52
tshau1	ʦʰæ44
tshau3	ʦʰæ51
tshau44	ʦʰæ44
tshau5	ʦʰæ523
tshe	ʦʰᴇ
tshe cie	ʦʰᴇ ʨiɪ
tshe cie za	ʦʰᴇ ʨiɪ zɑ
tshe ciq ciq440	ʦʰᴇ ʨiəʔ ʨiəʔ44
tshe ciq zoe	ʦʰᴇ ʨiəʔ zø
tshe di40	ʦʰᴇ di4
tshe gnioq wen den	ʦʰᴇ ȵioʔ ɦuən dən
tshe ho ciah ng	ʦʰᴇ xo ʨiɑʔ ŋ
tshe ho laon zyu	ʦʰᴇ xo lɑ̃ zʮ
tshe jioe deu sy tsy	ʦʰᴇ ʥiø døʏ sɿ ʦɿ
tshe ko	ʦʰᴇ ko
tshe kuoe	ʦʰᴇ kuø
tshe loq	ʦʰᴇ loʔ
tshe me	ʦʰᴇ mᴇ
tshe mih	ʦʰᴇ miəʔ
tshe phie	ʦʰᴇ pʰiɪ
tshe pin	ʦʰᴇ pin
tshe seu	ʦʰᴇ søʏ
tshe sin[52]3	ʦʰᴇ sin52
tshe son diau	ʦʰᴇ soŋ diæ
tshe sy kuoe440	ʦʰᴇ sɿ kuø44
tshe tau[52]3	ʦʰᴇ tæ52
tshe ten mi	ʦʰᴇ tən mi
tshe ton tshe[52]30	ʦʰᴇ toŋ ʦʰᴇ52
tshe tsoq	ʦʰᴇ ʦoʔ
tshe tsy	ʦʰᴇ ʦɿ
tshe tsyu tsa	ʦʰᴇ ʦʮ ʦɑ
tshe ve tie	ʦʰᴇ vᴇ tiɪ
tshe ve40	ʦʰᴇ vᴇ4
tshe wen den	ʦʰᴇ ɦuən dən
tshe yeu40	ʦʰᴇ ɦiʏ4
tshe yoe	ʦʰᴇ ɦiø
tshe ze40	ʦʰᴇ zᴇ4
tshe1	ʦʰᴇ44
tshe3	ʦʰᴇ51
tshe44	ʦʰᴇ44
tshe44 me me tsy230	ʦʰᴇ44 mᴇ mᴇ ʦɿ23
tshe5	ʦʰᴇ523
tshe51	ʦʰᴇ51
tshen boe	ʦʰən bø
tshen cin daon	ʦʰən ʨin dɑ̃
tshen cin de	ʦʰən ʨin dᴇ
tshen cioe	ʦʰən ʨiø
tshen cioe bi tsy	ʦʰən ʨiø bi ʦɿ
tshen dou40	ʦʰən dəu4
tshen fen	ʦʰən fən
tshen gnieu zen440	ʦʰən ȵiʏ zən44
tshen gnioq ji bau	ʦʰən ȵioʔ ʥi bæ
tshen gniq	ʦʰən ȵiəʔ
tshen ho	ʦʰən xo
tshen kan40	ʦʰən kã4
tshen keu	ʦʰən køʏ
tshen khou	ʦʰən kʰəu
tshen khou40	ʦʰən kʰəu4
tshen li pu se	ʦʰən li pu sᴇ
tshen li toe se4440	ʦʰən li tø sᴇ444
tshen pe40	ʦʰən pᴇ4
tshen peq lau	ʦʰən pəʔ læ
tshen se40	ʦʰən sᴇ4
tshen sen40	ʦʰən sən4
tshen sie	ʦʰən siɪ
tshen sin	ʦʰən sin
tshen sin40	ʦʰən sin4
tshen sin[52]3	ʦʰən sin52
tshen siq40	ʦʰən siəʔ4
tshen ten40	ʦʰən tən4
tshen thie	ʦʰən tʰiɪ
tshen tsaon	ʦʰən ʦɑ̃
tshen tsaq keu440	ʦʰən ʦɑʔ køʏ44
tshen tsau	ʦʰən ʦæ
tshen tshen teq le[52]110	ʦʰən ʦʰən təʔ lᴇ52
tshen tshen[52]1	ʦʰən ʦʰən52
tshen tsy	ʦʰən ʦɿ
tshen vi	ʦʰən vi
tshen1	ʦʰən44
tshen3	ʦʰən51
tshen44	ʦʰən44
tshen5	ʦʰən523
tshen523	ʦʰən523
tsheq ciaq44 me3 bie231	ʦʰəʔ ʨiɑʔ44 mᴇ51 biɪ231
tsheq ciu	ʦʰəʔ ʨy
tsheq dau5[523]	ʦʰəʔ dæ523
tsheq deu shi	ʦʰəʔ døʏ ɕi
tsheq gnie	ʦʰəʔ ȵiɪ
tsheq gnin zin	ʦʰəʔ ȵin zin
tsheq ho deu	ʦʰəʔ xo døʏ
tsheq ka	ʦʰəʔ kɑ
tsheq khou siau di shion4[23]430	ʦʰəʔ kʰəu siæ di ɕioŋ23
tsheq koq	ʦʰəʔ koʔ
tsheq kuoe ze	ʦʰəʔ kuø zᴇ
tsheq loe di shion5[51]10	ʦʰəʔ lø di ɕioŋ51
tsheq me	ʦʰəʔ mᴇ
tsheq men	ʦʰəʔ mən
tsheq mo deu	ʦʰəʔ mo døʏ
tsheq nge li	ʦʰəʔ ŋᴇ li
tsheq san tsheq syu4[23]40	ʦʰəʔ sã ʦʰəʔ sʮ23
tsheq shiuq deu440	ʦʰəʔ ɕyəʔ døʏ44
tsheq so tsy4[23]0	ʦʰəʔ so ʦɿ23
tsheq son4[23]	ʦʰəʔ soŋ23
tsheq syu	ʦʰəʔ sʮ
tsheq syu deu	ʦʰəʔ sʮ døʏ
tsheq thaon5[523]	ʦʰəʔ tʰɑ̃523
tsheq the	ʦʰəʔ tʰᴇ
tsheq thie ho4[23]0	ʦʰəʔ tʰiɪ xo23
tsheq thiq tsy	ʦʰəʔ tʰiəʔ ʦɿ
tsheq tsan	ʦʰəʔ ʦã
tsheq tsen	ʦʰəʔ ʦən
tsheq voq	ʦʰəʔ voʔ
tsheq we	ʦʰəʔ ɦuᴇ
tsheq yan sian	ʦʰəʔ ɦiã siã
tsheq43	ʦʰəʔ43
tsheq55bo52	?
tsheq7	ʦʰəʔ43
tsheq[43] yaq[23]	ʦʰəʔ43 ɦiɑʔ23
tsheu cin	ʦʰøʏ ʨin
tsheu ciu tsian	ʦʰøʏ ʨy ʦiã
tsheu deu vu	ʦʰøʏ døʏ vu
tsheu deu vu koe	ʦʰøʏ døʏ vu kø
tsheu deu vu koe4440	ʦʰøʏ døʏ vu kø444
tsheu fen	ʦʰøʏ fən
tsheu gni tou	ʦʰøʏ ȵi təu
tsheu ho gnian tsy	ʦʰøʏ xo ȵiã ʦɿ
tsheu ji	ʦʰøʏ ʥi
tsheu la sa	ʦʰøʏ lɑ sɑ
tsheu lou ban	ʦʰøʏ ləu bã
tsheu meq	ʦʰøʏ məʔ
tsheu mo mi	ʦʰøʏ mo mi
tsheu shian seq	ʦʰøʏ ɕiã səʔ
tsheu syu mo don	ʦʰøʏ sʮ mo doŋ
tsheu thi40	ʦʰøʏ tʰi4
tsheu thie40	ʦʰøʏ tʰiɪ4
tsheu tshen zyu	ʦʰøʏ ʦʰən zʮ
tsheu zon	ʦʰøʏ zoŋ
tsheu zyu vu	ʦʰøʏ zʮ vu
tsheu1	ʦʰøʏ44
tsheu3	ʦʰøʏ51
tsheu5	ʦʰøʏ523
tshi ho loq	ʦʰi xo loʔ
tshi ka zian	ʦʰi kɑ ziã
tshi ng40	ʦʰi ŋ4
tshi nge tsin	ʦʰi ŋᴇ ʦin
tshi tsoe waeq laeq4440	ʦʰi ʦø ɦuaʔ laʔ444
tshi1	ʦʰi44
tshi3	ʦʰi51
tshi44	ʦʰi44
tshi5	ʦʰi523
tshia poq gnie	ʦʰiɑ poʔ ȵiɪ
tshia poq gniq	ʦʰiɑ poʔ ȵiəʔ
tshia poq keq ngeq	ʦʰiɑ poʔ kəʔ ŋəʔ
tshia poq keq440	ʦʰiɑ poʔ kəʔ44
tshia poq seq keq	ʦʰiɑ poʔ səʔ kəʔ
tshia poq tshie keq	ʦʰiɑ poʔ ʦʰiɪ kəʔ
tshia poq ve keq	ʦʰiɑ poʔ vᴇ kəʔ
tshia1	ʦʰiɑ44
tshia3	ʦʰiɑ51
tshia5	ʦʰiɑ523
tshiah43	ʦʰiɑʔ43
tshian bi	ʦʰiã bi
tshian cioe	ʦʰiã ʨiø
tshian ho	ʦʰiã xo
tshian kan ve[52]30	ʦʰiã kã vᴇ52
tshian lie po	ʦʰiã liɪ po
tshian tshin	ʦʰiã ʦʰin
tshian zoe	ʦʰiã zø
tshian1	ʦʰiã44
tshian3	ʦʰiã51
tshian5	ʦʰiã523
tshian523	ʦʰiã523
tshiaq7	ʦʰiɑʔ43
tshiau pie40	ʦʰiæ piɪ4
tshiau so	ʦʰiæ so
tshiau1	ʦʰiæ44
tshiau44	ʦʰiæ44
tshiau5	ʦʰiæ523
tshiau523	ʦʰiæ523
tshie ciah	ʦʰiɪ ʨiɑʔ
tshie ciun ve mo	ʦʰiɪ ʨyn vᴇ mo
tshie ciuq	ʦʰiɪ ʨyəʔ
tshie ciuq40	ʦʰiɪ ʨyəʔ4
tshie deu	ʦʰiɪ døʏ
tshie din40	ʦʰiɪ din4
tshie don	ʦʰiɪ doŋ
tshie en me zia	ʦʰiɪ ən mᴇ ziɑ
tshie gnie yun440	ʦʰiɪ ȵiɪ ɦyn44
tshie hue	ʦʰiɪ xuᴇ
tshie ka syu	ʦʰiɪ kɑ sʮ
tshie ken tou	ʦʰiɪ kən təu
tshie ken tou440	ʦʰiɪ kən təu44
tshie kuaon beq zi4440	ʦʰiɪ kuɑ̃ bəʔ zi444
tshie le	ʦʰiɪ lᴇ
tshie li cin	ʦʰiɪ li ʨin
tshie paq ve	ʦʰiɪ pɑʔ vᴇ
tshie pie ve ho	ʦʰiɪ piɪ vᴇ xo
tshie po	ʦʰiɪ po
tshie po keq	ʦʰiɪ po kəʔ
tshie po keq440	ʦʰiɪ po kəʔ44
tshie seu kuoe in	ʦʰiɪ søʏ kuø in
tshie sin ve khou	ʦʰiɪ sin vᴇ kʰəu
tshie syu	ʦʰiɪ sʮ
tshie tou me zia4440	ʦʰiɪ təu mᴇ ziɑ444
tshie tsen ve chioq	ʦʰiɪ ʦən vᴇ ʨʰioʔ
tshie tshie ve ve	ʦʰiɪ ʦʰiɪ vᴇ vᴇ
tshie tsy	ʦʰiɪ ʦɿ
tshie waon	ʦʰiɪ ɦuɑ̃
tshie zy ven	ʦʰiɪ zɿ vən
tshie1	ʦʰiɪ44
tshie3	ʦʰiɪ51
tshie44	ʦʰiɪ44
tshie5	ʦʰiɪ523
tshih bu zo	ʦʰiəʔ bu zo
tshih zian	ʦʰiəʔ ziã
tshin bi koe tso	ʦʰin bi kø ʦo
tshin bi loq gnioq	ʦʰin bi loʔ ȵioʔ
tshin cin40	ʦʰin ʨin4
tshin cioe	ʦʰin ʨiø
tshin cioe toq	ʦʰin ʨiø toʔ
tshin dau fu	ʦʰin dæ fu
tshin de	ʦʰin dᴇ
tshin doe tsy	ʦʰin dø ʦɿ
tshin doe tsy440	ʦʰin dø ʦɿ44
tshin dou bi440 weq sen2[51]	ʦʰin dəu bi44 ɦuəʔ sən51
tshin gni de	ʦʰin ȵi dᴇ
tshin gnie de440	ʦʰin ȵiɪ dᴇ44
tshin gnie seh	ʦʰin ȵiɪ səʔ
tshin hou	ʦʰin xəu
tshin i	ʦʰin i
tshin ie de	ʦʰin iɪ dᴇ
tshin jie40	ʦʰin ʥiɪ4
tshin ka kon	ʦʰin kɑ koŋ
tshin ka m	ʦʰin kɑ m
tshin ka m440	ʦʰin kɑ m44
tshin ka40	ʦʰin kɑ4
tshin ke le	ʦʰin kᴇ lᴇ
tshin kou	ʦʰin kəu
tshin kuaon nge	ʦʰin kuɑ̃ ŋᴇ
tshin kuoe	ʦʰin kuø
tshin laeq hou	ʦʰin laʔ xəu
tshin lau boq	ʦʰin læ boʔ
tshin lie	ʦʰin liɪ
tshin lon	ʦʰin loŋ
tshin me	ʦʰin mᴇ
tshin min	ʦʰin min
tshin min tsiq440	ʦʰin min ʦiəʔ44
tshin phaon khue	ʦʰin pʰɑ̃ kʰuᴇ
tshin phaon khue440	ʦʰin pʰɑ̃ kʰuᴇ44
tshin pie uoe440	ʦʰin piɪ uø44
tshin saon40	ʦʰin sɑ̃4
tshin siau zo	ʦʰin siæ zo
tshin syu beq thi	ʦʰin sʮ bəʔ tʰi
tshin syu ha	ʦʰin sʮ xɑ
tshin tan tshin	ʦʰin tã ʦʰin
tshin thaon	ʦʰin tʰɑ̃
tshin thiq	ʦʰin tʰiəʔ
tshin tsau	ʦʰin ʦæ
tshin tshe40	ʦʰin ʦʰᴇ4
tshin tsiau	ʦʰin ʦiæ
tshin tsin le	ʦʰin ʦin lᴇ
tshin tsoe	ʦʰin ʦø
tshin zo	ʦʰin zo
tshin zoe deu	ʦʰin zø døʏ
tshin zou	ʦʰin zəu
tshin zy40	ʦʰin zɿ4
tshin1	ʦʰin44
tshin3	ʦʰin51
tshin5	ʦʰin523
tshin51 laon tson23	ʦʰin51 lɑ̃ ʦoŋ23
tshin52 ka523	ʦʰin52 kɑ523
tshiq chiau dou	ʦʰiəʔ ʨʰiæ dəu
tshiq chie5[523]	ʦʰiəʔ ʨʰiɪ523
tshiq feq lau chie4420	ʦʰiəʔ fəʔ læ ʨʰiɪ442
tshiq feq lau se chie44220	ʦʰiəʔ fəʔ læ sᴇ ʨʰiɪ4422
tshiq hua poq tau	ʦʰiəʔ xuɑ poʔ tæ
tshiq huen poq sou	ʦʰiəʔ xuən poʔ səu
tshiq iq pu	ʦʰiəʔ iəʔ pu
tshiq jiau poq liq	ʦʰiəʔ ʥiæ poʔ liəʔ
tshiq jiau poq liq4[23]40	ʦʰiəʔ ʥiæ poʔ liəʔ23
tshiq kan4[23] poq seq diau440	ʦʰiəʔ kã23 poʔ səʔ diæ44
tshiq keq	ʦʰiəʔ kəʔ
tshiq li	ʦʰiəʔ li
tshiq li5[51]	ʦʰiəʔ li51
tshiq lin poq loq	ʦʰiəʔ lin poʔ loʔ
tshiq ngeq poe	ʦʰiəʔ ŋəʔ pø
tshiq ngeq44 tshou tshiq40	ʦʰiəʔ ŋəʔ44 ʦʰəu ʦʰiəʔ4
tshiq phin poq tsheu	ʦʰiəʔ pʰin poʔ ʦʰøʏ
tshiq poq keq	ʦʰiəʔ poʔ kəʔ
tshiq poq paq keq	ʦʰiəʔ poʔ pɑʔ kəʔ
tshiq seq	ʦʰiəʔ səʔ
tshiq seu poq ciaq	ʦʰiəʔ søʏ poʔ ʨiɑʔ
tshiq so ng	ʦʰiəʔ so ŋ
tshiq sy poq weq	ʦʰiəʔ sɿ poʔ ɦuəʔ
tshiq ten	ʦʰiəʔ tən
tshiq tie poq tau	ʦʰiəʔ tiɪ poʔ tæ
tshiq toe poq tsen4[23]40	ʦʰiəʔ tø poʔ ʦən23
tshiq tshe	ʦʰiəʔ ʦʰᴇ
tshiq tshe tau4[23]0	ʦʰiəʔ ʦʰᴇ tæ23
tshiq tsy se yan	ʦʰiəʔ ʦɿ sᴇ ɦiã
tshiq zan poq toe	ʦʰiəʔ zã poʔ tø
tshiq zaon poq gho	ʦʰiəʔ zɑ̃ poʔ ɦo
tshiq zaon poq loq	ʦʰiəʔ zɑ̃ poʔ loʔ
tshiq zyu poq zeq	ʦʰiəʔ zʮ poʔ zəʔ
tshiq7	ʦʰiəʔ43
tsho boe ka tsy	ʦʰo bø kɑ ʦɿ
tsho de	ʦʰo dᴇ
tsho faon	ʦʰo fɑ̃
tsho iau	ʦʰo iæ
tsho tsy gheu mie	ʦʰo ʦɿ ɦøʏ miɪ
tsho tsy laon	ʦʰo ʦɿ lɑ̃
tsho tsy phi kou deu	ʦʰo ʦɿ pʰi kəu døʏ
tsho tsy zie mie	ʦʰo ʦɿ ziɪ miɪ
tsho tsyu	ʦʰo ʦʮ
tsho1	ʦʰo44
tsho3	ʦʰo51
tsho44	ʦʰo44
tsho44 mo tsian23	ʦʰo44 mo ʦiã23
tsho44 syu51	ʦʰo44 sʮ51
tsho44 thiq kou4[23]	ʦʰo44 tʰiəʔ kəu23
tsho44 zy231	ʦʰo44 zɿ231
tsho5	ʦʰo523
tshoe bin	ʦʰø bin
tshoe daon	ʦʰø dɑ̃
tshoe daon fon	ʦʰø dɑ̃ foŋ
tshoe diau ng	ʦʰø diæ ŋ
tshoe diau ng440	ʦʰø diæ ŋ44
tshoe don	ʦʰø doŋ
